DT,distance(Km),heart,pace
2022-01-03 17:14:58,5.04,170,6:13
2022-01-06 18:19:13,5.03,169,5:58
2022-01-08 18:01:00,5.06,152,6:45
2022-01-11 11:30:55,0.94,,14:06
2022-01-12 13:47:26,3.01,,12:58
2022-01-12 14:49:27,1.25,,16:58
2022-01-12 16:12:24,4.69,,9:08
2022-01-12 16:12:25,4.75,140,9:37
2022-01-13 15:02:09,0.46,,14:40
2022-01-13 19:57:07,1.28,,12:53
2022-01-14 17:17:20,4.80,,8:21
2022-01-14 17:17:21,4.83,150,8:24
2022-01-15 19:59:41,2.02,,12:57
2022-01-15 21:23:05,0.23,,14:31
2022-01-16 17:58:28,4.90,134,8:06
2022-01-18 20:02:25,2.09,,12:20
2022-01-20 17:41:36,5.08,145,7:58
2022-01-20 21:37:08,1.92,,14:20
2022-01-21 19:01:58,4.66,166,5:54
2022-01-23 19:19:23,0.31,,5:10
2022-01-26 21:25:26,1.85,,14:05
2022-01-28 16:02:31,3.64,,5:57
2022-01-28 16:02:32,3.65,159,5:54
2022-01-28 16:40:03,0.20,,9:23
2022-01-29 18:08:35,5.01,155,7:18
2022-02-06 14:25:06,5.05,156,6:50
2022-02-07 16:03:33,3.52,,12:01
2022-02-08 18:04:00,0.61,,12:43
2022-02-08 20:38:16,6.64,171,6:48
2022-02-09 21:39:00,5.01,154,7:31
2022-02-10 21:18:49,5.86,159,7:18
2022-02-10 21:18:50,5.90,,7:14
2022-02-12 14:02:07,10.27,,5:34
2022-02-12 14:02:08,10.24,172,5:33
2022-02-13 14:49:42,19.32,,4:09
2022-02-13 14:49:43,19.45,124,4:19
2022-02-14 22:18:35,5.22,170,5:24
2022-02-16 20:57:29,5.01,133,6:20
2022-02-19 14:26:26,7.55,,8:25
2022-02-19 14:26:27,7.69,141,8:30
2022-02-20 20:20:20,5.01,162,7:28
2022-02-21 19:34:51,1.78,,12:47
2022-02-22 19:30:14,4.95,162,6:36
2022-02-23 22:14:00,1.53,,14:27
2022-02-24 22:08:56,5.02,156,6:20
2022-02-25 19:20:52,1.28,,11:25
2022-02-26 08:37:23,5.09,170,5:55
2022-02-27 19:38:40,2.99,,14:57
2022-02-28 21:25:45,5.01,159,5:54
2022-03-02 07:09:54,5.00,,6:00
2022-03-02 21:23:07,0.97,,12:53
2022-03-03 21:26:24,5.01,146,6:42
2022-03-04 21:33:17,2.76,,14:22
2022-03-05 07:16:47,5.08,144,6:47
2022-03-07 21:30:09,5.09,156,6:14
2022-03-08 22:10:03,5.04,,6:31
2022-03-10 19:41:44,5.02,153,6:01
2022-03-12 07:30:35,5.79,150,6:33
2022-03-12 21:25:17,0.53,,13:29
2022-03-13 20:20:06,1.24,,14:47
2022-03-14 21:49:16,4.57,145,6:03
2022-03-16 19:07:30,0.41,,11:25
2022-03-16 19:14:02,2.73,,4:28
2022-03-16 22:03:28,5.00,137,6:54
2022-03-17 08:12:26,5.58,,4:55
2022-03-17 18:18:10,5.03,,4:02
2022-03-18 08:50:46,5.67,,3:50
2022-03-18 18:40:18,5.24,,3:26
2022-03-18 20:56:49,5.00,151,6:26
2022-03-19 20:44:10,1.32,,15:30
2022-03-20 20:14:57,2.00,,14:34
2022-03-22 20:01:54,4.03,109,10:19
2022-03-23 08:51:10,4.37,,4:56
2022-03-23 18:38:40,5.61,,4:16
2022-03-23 21:03:13,5.00,155,6:25
2022-03-25 18:55:55,1.91,,4:56
2022-03-26 12:13:31,2.36,,5:01
2022-03-26 16:42:00,1.64,,7:27
2022-03-26 17:31:11,5.09,155,5:58
2022-03-28 08:57:56,3.42,,5:03
2022-03-28 18:48:16,3.64,,4:52
2022-03-28 21:43:39,5.01,162,5:57
2022-03-29 08:51:41,4.45,,4:55
2022-03-29 19:24:03,4.70,,4:54
2022-03-31 21:36:55,5.04,148,6:24
2022-04-03 07:47:35,5.01,149,6:22
2022-04-04 19:23:48,5.07,161,6:00
2022-04-06 21:17:11,5.02,154,6:00
2022-04-08 21:36:32,5.01,142,7:04
2022-04-09 18:18:03,2.30,,12:54
2022-04-10 18:38:37,5.01,,6:16
2022-04-10 18:38:39,5.04,160,6:16
2022-04-12 21:48:41,4.97,,6:27
2022-04-12 21:48:42,5.01,160,6:28
2022-04-14 21:19:38,4.71,139,6:57
2022-04-16 19:22:31,1.20,,13:07
2022-04-17 19:21:36,5.04,152,6:58
2022-04-20 21:15:35,4.74,,7:31
2022-04-20 21:15:36,4.76,136,7:29
2022-04-22 20:47:11,4.67,152,6:31
2022-04-24 21:05:03,3.70,,13:05
2022-04-27 21:09:35,5.02,152,6:41
2022-04-29 20:44:30,5.02,159,5:51
2022-05-03 14:18:32,0.49,,10:24
2022-05-05 19:05:37,4.73,135,7:00
2022-05-06 20:36:26,5.09,,7:50
2022-05-06 20:36:28,5.08,140,7:50
2022-05-09 19:17:15,6.86,,6:51
2022-05-09 19:17:17,6.85,141,6:49
2022-05-11 20:23:12,6.93,148,6:49
2022-05-13 21:03:19,6.27,141,7:13
2022-05-16 21:05:22,5.90,,7:10
2022-05-16 21:05:24,5.92,148,7:15
2022-05-18 20:47:13,4.77,133,7:26
2022-05-20 21:53:15,3.18,,14:31
2022-05-21 20:36:22,6.40,144,6:47
2022-05-23 20:51:02,5.62,142,6:54
2022-05-26 21:17:46,5.60,,6:48
2022-05-26 21:17:47,5.62,138,6:48
2022-05-29 19:09:00,5.70,156,6:31
2022-05-31 21:08:01,4.46,,9:21
2022-06-02 20:38:18,5.61,,7:02
2022-06-02 20:38:19,5.63,153,7:04
2022-06-06 21:01:31,5.65,145,7:04
2022-06-08 21:44:14,5.09,157,7:15
2022-06-11 18:17:00,1.44,,7:28
2022-06-14 21:21:22,6.22,,6:51
2022-06-14 21:21:23,6.23,148,6:50
2022-06-16 20:58:22,6.23,,7:01
2022-06-16 20:58:24,6.23,149,7:02
2022-06-20 21:31:48,6.15,,6:48
2022-06-20 21:31:50,6.17,147,6:49
2022-06-27 21:17:54,5.89,,7:22
2022-06-27 21:17:55,5.92,146,7:21
2022-06-29 20:28:57,5.85,135,7:31
2022-07-04 21:11:27,6.25,154,6:45
2022-07-05 21:49:57,0.84,,14:40
2022-07-06 09:13:40,0.00,,0
2022-07-06 21:28:34,5.99,,6:53
2022-07-06 21:28:35,6.03,142,7:00
2022-07-09 19:45:00,6.11,156,6:33
2022-07-11 22:07:31,1.77,174,6:19
2022-07-14 20:00:04,5.68,,7:10
2022-07-14 20:00:05,5.77,142,7:06
2022-07-18 21:31:41,6.47,140,7:11
2022-07-20 21:09:40,6.04,,6:36
2022-07-20 21:09:41,6.17,145,6:32
2022-07-25 21:10:14,5.53,163,6:05
2022-07-28 21:03:37,6.08,155,6:37
2022-07-31 20:28:17,3.04,,12:49
2022-08-01 19:20:54,5.97,,6:43
2022-08-01 19:20:56,6.00,158,6:44
2022-08-04 21:11:03,5.15,154,7:28
2022-08-08 19:33:38,5.72,,6:39
2022-08-08 19:33:39,5.80,160,6:47
2022-08-10 19:40:35,5.09,,6:32
2022-08-10 19:40:36,5.21,155,6:54
2022-08-12 19:38:59,5.73,,6:50
2022-08-12 19:39:00,5.81,144,6:52
2022-08-14 21:14:45,0.94,,13:47
2022-08-15 21:36:40,3.90,,6:10
2022-08-15 21:36:42,3.88,166,6:08
2022-08-18 19:22:51,5.97,,6:27
2022-08-18 19:22:52,6.02,155,6:21
2022-08-22 21:10:26,6.01,140,7:30
2022-08-24 19:28:24,6.06,144,6:57
2022-08-26 19:22:08,6.18,138,6:37
2022-08-27 15:59:20,1.84,,5:37
2022-08-28 19:21:01,3.44,,5:25
2022-08-31 21:04:26,5.62,141,6:12
2022-09-02 18:58:54,5.73,141,6:18
